brickname,brickid,coverage_class_exact_indicator
0029m730,14481,required
0029m777,7562,required
0029m780,7258,required
0029m827,2665,required
0030m395,120305,required
0030m397,119195,required
0030m400,118089,required
0030m452,95820,required
0030m455,94808,required
0030m457,93800,required
0030m460,92796,required
0030m462,91796,required
0030m465,90802,required
0030m517,70999,required
0030m520,70109,required
0030m527,67467,required
0030m575,51806,required
0030m577,51034,required
0030m580,50268,required
0030m582,49506,required
0030m630,36069,required
0030m632,35417,required
0030m637,34131,required
0030m682,23570,required
0030m685,23038,required
0030m687,22512,required
0030m732,14061,required
0030m735,13649,required
0030m782,6960,required
0030m785,6668,required
0030m830,2485,required
0031m402,116987,required
0031m405,115889,required
0031m407,114795,required
0031m410,113705,required
0031m415,111537,required
0031m417,110459,required
0031m420,109385,required
0031m422,108315,required
0031m470,88826,required
0031m475,86870,required
0031m477,85898,required
0031m482,83970,required
0031m485,83012,required
0031m530,66597,required
0031m532,65731,required
0031m535,64871,required
0031m537,64015,required
0031m540,63165,required
0031m587,48000,required
0031m590,47254,required
0031m592,46514,required
0031m595,45780,required
0031m640,33495,required
0031m642,32865,required
0031m645,32241,required
0031m690,21992,required
0031m692,21478,required
0031m695,20970,required
0031m737,13243,required
0031m740,12843,required
0031m787,6382,required
0031m832,2311,required
0032m425,107251,required
0032m427,106191,required
0032m430,105135,required
0032m432,104083,required
0032m435,103035,required
0032m437,101991,required
0032m440,100951,required
0032m487,82060,required
0032m490,81112,required
0032m492,80168,required
0032m495,79230,required
0032m497,78296,required
0032m500,77366,required
0032m545,61481,required
0032m547,60647,required
0032m550,59817,required
0032m552,58993,required
0032m555,58173,required
0032m597,45050,required
0032m600,44326,required
0032m602,43608,required
0032m605,42896,required
0032m647,31623,required
0032m650,31011,required
0032m652,30405,required
0032m655,29803,required
0032m697,20468,required
0032m700,19972,required
0032m745,12061,required
0032m747,11679,required
0032m790,6104,required
0032m835,2143,required
0033m392,121420,required
0033m395,120306,required
0033m447,97861,required
0033m450,96839,required
0033m452,95821,required
0033m455,94809,required
0033m502,76442,required
0033m505,75522,required
0033m507,74608,required
0033m510,73698,required
0033m512,72794,required
0033m557,57359,required
0033m560,56551,required
0033m562,55747,required
0033m565,54949,required
0033m607,42188,required
0033m610,41486,required
